Foreword,Meteora,Linkin park,0:13,rock
Don't Stay,Meteora,Linkin park,3:07,rock
Somewhere I Belong,Meteora,Linkin park,3:33,rock
Lying from You,Meteora,Linkin park,2:55,nu metal
Hit the Floor,Meteora,Linkin park,2:24,nu metal
Easier to Run,Meteora,Linkin park,3:24,nu metal
Faint,Meteora,Linkin park,2:42,hard rock
Figure.09,Meteora,Linkin park,3:17,nu metal
Breaking the Habit,Meteora,Linkin park,3:16,nu metal
From the Inside,Meteora,Linkin park,2:55,nu metal
Nobody's Listening,Meteora,Linkin park,2:58,nu metal
Session,Meteora,Linkin park,2:24,nu metal
Numb,Meteora,Linkin park,3:07,nu metal
Echo,Divisions,Statset,2:14,alternative
